"Billing Start Month"," Billing End Month"," Actual Gas Usage (kWh)"," Modelled Gas Usage (kWh)","Actual Cost ($USD)"," Modelled Cost ($USD)"," Usage Error (%)"," Cost Error (%)"
"1","2","8702.1297","8526.689336020923","196.6333333","192.66908076341812","2.016062389636369","2.0160633347621135"
"2","3","6563.2224","6515.85010837291","159.85","158.69622695136707","0.7217840374735726","0.7217848286724605"
"3","4","3545.3121","3625.3801249058324","91.79333333","93.86641349183536","-2.2584196439527093","-2.258421267242332"
"4","5","1894.7398","1472.4636698597415","55.43333333","43.079039119576656","22.286760965292363","22.28676045309604"
"5","6","879.003","732.503","32.025","26.687518397469","16.666609784039416","16.666609219456674"
"6","7","800.8694","732.503","25.23333333","23.079284067278","8.536522933701798","8.536522838863482"
"7","8","703.2024","732.503","22.91666667","23.871543929515","-4.166737769950733","-4.16673713182301"
"8","9","683.669","732.503","23.78333333","25.48216053837","-7.142930277663615","-7.142931500804887"
"9","10","1181.7707","1224.5243726455185","43.66","45.23951538118909","-3.6177638052389063","-3.6177631268646295"
"10","11","2549.1087","3061.133616003637","71.79666667","86.21805274818884","-20.086429268537543","-20.08642844726213"
"11","12","6367.8884","5918.098767368859","154.8866667","143.9463956847129","7.063403193924396","7.063404002668163"
"12","1","7862.1935","8245.245206704845","185.0833333","194.10072375338387","-4.872071727881601","-4.872070484470728"
"Total 0","0","41733.1091","41519.39720188227","1063.09499996","1056.935954826304","0.5120919642139331","0.5793503999104308"
""
"Billing Start Month"," Billing End Month"," Actual Cooling Electricity Usage (kWh)"," Modelled Cooling Electricity Usage (kWh)","Actual Cost ($USD)"," Modelled Cost ($USD)"," Usage Error (%)"," Cost Error (%)"
"1","2","0.0","0.0","0.0","0.0","0.0","0.0"
"2","3","0.0","0.0","0.0","0.0","0.0","0.0"
"3","4","0.0","0.0","0.0","0.0","0.0","0.0"
"4","5","0.0","126.82045905724848","0.0","14.648578730304857","0.0","0.0"
"5","6","548.5","547.7978493405204","64.6696845","64.58689917562981","0.12801288231168112","0.1280125688106494"
"6","7","1079.666667","952.2317943840733","133.7124712","117.93016355905196","11.803168191718072","11.803168021135225"
"7","8","930.6666667","988.0524240798637","120.009094","127.40896486412879","-6.166091408790302","-6.166091766452954"
"8","9","700.6666667","624.5000492648522","94.47145604","84.20184936092008","10.870592402215632","10.870592144500971"
"9","10","0.0","167.70202928578988","0.0","23.69791187632616","0.0","0.0"
"10","11","0.0","0.0","0.0","0.0","0.0","0.0"
"11","12","0.0","0.0","0.0","0.0","0.0","0.0"
"12","1","0.0","0.0","0.0","0.0","0.0","0.0"
"Total 0","0","3259.5000004","3407.104605412348","412.86270574","432.47436756636165","-4.52844316595289","-4.750165503859304"
