"Month","Heat Loss (kWh)","Heat Gain (kWh)","Gas Usage (kWh)"
"1","8869.949710494406","875.5387997217249","9060.01436538821"
"2","7928.222136645583","957.7952822580907","7993.364306653638"
"3","6169.107168558259","2035.5075748697648","5038.335910092182"
"4","3710.23399280993","2289.5095066792264","2212.4243397194828"
"5","1787.7896910656555","2870.8364114145575","732.503"
"6","69.3815682220955","3664.528481241238","732.503"
"7","0.0","4536.9126110208435","732.503"
"8","0.0","3901.055090621192","732.503"
"9","753.3484541570886","2185.523784257734","732.503"
"10","2605.65975118507","1660.9787157056746","1716.5457452910368"
"11","4672.368335216657","1146.0785879690695","4405.721486716237"
"12","7175.445110571548","745.3909844709266","7430.47604802148"
